"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YLR262C-A",81.2419125720006,-0.90417612868191,0.331508436264104,-2.72746038945922,0.00638239199272873,0.0304953192311399
"YKL171W",104.491994936065,0.962638428488816,0.353108706064705,2.72618151848235,0.00640717518634704,0.0305897423473559
"YMR078C",13.805145247517,-1.45797824902814,0.535059906019823,-2.72488787260043,0.00643233276485167,0.0306858036049149
"YOL087C",138.8855627861,0.728797742797498,0.2676161478629,2.72329509492402,0.00646342962509999,0.0308100260376441
"YHR139C",14.2829298721536,1.47130916189774,0.541315432030671,2.71802552603815,0.00656727714047167,0.0312561346404324
"YJR145C",42.6043293460865,-0.961051137319172,0.353568436093844,-2.71814743402064,0.00656485784078388,0.0312561346404324
"YOR120W",219.040902318298,0.655994413658278,0.241456462243871,2.71682276615038,0.00659118927710118,0.0313454528306795
"YPL237W",241.287870448339,-0.645854121959101,0.237828377794314,-2.71563102750366,0.00661495949182514,0.031433957273166
"YPL074W",67.3999551444249,0.783032902757195,0.288858351825575,2.71078505367234,0.00671241241649141,0.0318721874055071
"YDR272W",122.941667903676,0.781626125459726,0.288462488382591,2.70962831195939,0.00673586454674185,0.0319586345940431
"YHR022C",5.28474008288134,2.57103581739839,0.949217759135641,2.70858377085104,0.00675710513944317,0.0320344626532979
"YFR052W",107.229690988147,-0.754865877521927,0.27878151629996,-2.70773287820745,0.00677445239045053,0.0320667940657534
"YPL244C",26.5006348482987,-1.14891242724541,0.424273404618908,-2.70795297262949,0.00676996146564246,0.0320667940657534
"YJL185C",21.809896624264,1.18436384898204,0.437548372324814,2.70681808891023,0.00679314694645278,0.0321224894463656
"YNL220W",220.920321276785,-0.666644662643074,0.24629959433215,-2.70664133430956,0.00679676442816238,0.0321224894463656
"YCR047C",34.0331725829518,0.987448149412227,0.364886334701155,2.70618013201551,0.00680621160488731,0.0321422024007547
"YMR144W",6.26774261037018,-2.22310832133691,0.822533849917588,-2.70275602828948,0.00687672008333652,0.0324421931387167
"YNL044W",67.9164464344162,-0.986771026015388,0.365122011751399,-2.70257884832003,0.00688038633211129,0.0324421931387167
"YNL173C",53.3145335774905,0.868630232511676,0.321516349130528,2.70166737977929,0.00689927441680072,0.0324625800241465
"YNL270C",15.6846507740159,1.31220996202788,0.485716062705102,2.70159886152371,0.00690069618044481,0.0324625800241465
"YOL012C",45.9225056437573,-0.919725765502837,0.34042302659607,-2.70171431909082,0.0068983005712419,0.0324625800241465
"YKL127W",28.5268451836923,-1.09903863271564,0.406872801079305,-2.70118481697533,0.00690929326663341,0.0324779433490206
"YLR080W",50.4492823109015,0.935074698620474,0.346303372481141,2.70016053242853,0.00693060253514108,0.0325529920154815
"YHR137W",29.5135259047511,-1.1113072134727,0.412406334805676,-2.69468996880549,0.00704541521288623,0.0330667715538543
"YPL007C",20.5071075987725,-1.24529146851599,0.462262965313241,-2.69390273926043,0.00706207690608537,0.0331194553594088
"YJL180C",49.1181288804598,-0.86940510220782,0.322763013850691,-2.69363299045783,0.00706779426617827,0.0331207712842754
"YKL034W",81.6586290498897,0.837066221692102,0.310856271286349,2.69277572631317,0.00708599169066008,0.0331805237352046
"YEL048C",7.39757193157739,-2.18125824512081,0.810332436209781,-2.69180665570213,0.00710661311274503,0.0332515261772986
"YMR116C",449.050843272654,-0.785286310424397,0.292110308113524,-2.68832111915479,0.00718123002709843,0.0335605756831048
"YNL158W",16.5023135732736,-1.30328755653386,0.484816642195625,-2.68820713462221,0.0071836819912621,0.0335605756831048
"YDR356W",92.1713627182603,-1.22261474488559,0.454976661696386,-2.68720320802182,0.00720531031100451,0.0336358240725207
"YHR112C",189.077321329927,-0.697693824737011,0.259907256405726,-2.68439532772367,0.00726611317969469,0.0338895591236503
"YKL185W",54.3152406022646,-0.929415884318913,0.34625688622397,-2.6841802179141,0.00727079017968007,0.0338895591236503
"YLR150W",202.238089782031,-0.715348147877302,0.266560510324636,-2.68362386838959,0.00728289907552999,0.0339200467646244
"YPL040C",57.7385248221563,0.842736945576793,0.31431802281864,2.68116011299501,0.00733674026977354,0.0341447071989766
"YMR169C",18.4263649540259,1.28885166162242,0.480911264460484,2.6800196977468,0.00736178280003827,0.0342350998609413
"YLR197W",60.2262327105951,-1.09035923690764,0.407086863776235,-2.67844367856336,0.00739651702496283,0.0343703903249989
"YPL222C-A",24.9100794902906,1.15208560374157,0.430575321624481,2.67568888852005,0.00745758363055229,0.0346277435040584
"YCL052C",102.133197908157,0.747320516484888,0.27943992941033,2.67435122125128,0.00748739904404213,0.0347397067603234
"YDR394W",170.167877957421,-0.661750596853358,0.247572166197035,-2.67296040188416,0.00751851248057537,0.0348575175279035
"YDR492W",212.607709521246,0.676714834957915,0.253341113011869,2.67116074020805,0.00755894399725879,0.0349917073186174
"YGL202W",105.173852608802,-0.828107342037429,0.310007486631888,-2.67124949476058,0.00755694546111857,0.0349917073186174
"YPR174C",16.9477466813618,-1.36374922661473,0.510695580710547,-2.67037600896665,0.00757663485936162,0.0350469700556044
"YJL096W",45.2495249114018,-1.02399384467685,0.383533080371965,-2.66989706255257,0.00758745038722741,0.0350703700751058
"YCR077C",64.6199567052147,0.845867086074031,0.316990200626766,2.66843291812033,0.00762059945739975,0.0351726687956458
"YIL117C",11.8347500189983,1.51452699251723,0.56763078579857,2.66815512901846,0.00762690339445963,0.0351726687956458
"YLR430W",170.898391676363,0.645834951909555,0.242044664040526,2.66824701329264,0.00762481772462478,0.0351726687956458
"YDR237W",56.7060479534841,-0.814885245412491,0.305454972396246,-2.66777534842483,0.0076355294136886,0.0351858133042292
"YNL150W",76.2144211341837,-0.769965611475451,0.288703434174853,-2.66697766750195,0.00765367575143561,0.0352427760224835
"YFL017W-A",29.0965726900269,-1.08614013690143,0.407493782575668,-2.66541523661099,0.00768933133153245,0.0353802163683502
"YGL041C",16.3734521997443,-1.33580480488072,0.501282046231028,-2.66477687546202,0.00770394188991794,0.0354206898063246
"YKR100C",117.802027423614,0.812276624482967,0.304975658899914,2.66341460630974,0.00773520419755996,0.0355376048050794
"YNL255C",163.843338569123,-0.655020580281513,0.245994669609917,-2.66274298268415,0.00775065888778406,0.0355817738842355
"YLR456W",13.0754099396826,-1.5402661642156,0.578656001077487,-2.6617993442521,0.00777241964185073,0.0356548045618634
"YML088W",77.7896959708899,-0.801612949741801,0.301189302029022,-2.66149210593329,0.00777951650883999,0.0356605075785201
"YNR052C",44.8958911855754,0.898840381872843,0.337904953537174,2.66003908040951,0.00781315852076907,0.0357877907582896
"YGR238C",42.5725067653321,0.996872134001893,0.37483056925199,2.65952730587381,0.00782503867818656,0.0358152784579358
"YNL002C",73.4376213674815,-0.85881344467856,0.32307943432429,-2.65821142863748,0.00785565933226858,0.0359284359250602
